"","xdeg","xpx","ydeg","ypx"
"1",-7,89,-5,85
"2",-7,89,-3,231
"3",-7,89,-1,377
"4",-7,89,1,523
"5",-7,89,3,669
"6",-7,89,5,815
"7",-5,235,-5,85
"8",-5,235,-3,231
"9",-5,235,-1,377
"10",-5,235,1,523
"11",-5,235,3,669
"12",-5,235,5,815
"13",-3,381,-5,85
"14",-3,381,-3,231
"15",-3,381,-1,377
"16",-3,381,1,523
"17",-3,381,3,669
"18",-3,381,5,815
"19",-1,527,-5,85
"20",-1,527,-3,231
"21",-1,527,-1,377
"22",-1,527,1,523
"23",-1,527,3,669
"24",-1,527,5,815
"25",1,673,-5,85
"26",1,673,-3,231
"27",1,673,-1,377
"28",1,673,1,523
"29",1,673,3,669
"30",1,673,5,815
"31",3,819,-5,85
"32",3,819,-3,231
"33",3,819,-1,377
"34",3,819,1,523
"35",3,819,3,669
"36",3,819,5,815
"37",5,965,-5,85
"38",5,965,-3,231
"39",5,965,-1,377
"40",5,965,1,523
"41",5,965,3,669
"42",5,965,5,815
"43",7,1111,-5,85
"44",7,1111,-3,231
"45",7,1111,-1,377
"46",7,1111,1,523
"47",7,1111,3,669
"48",7,1111,5,815
