"";"melanopsin";"rod";"scone";"mcone";"lcone"
"1";0,00309;0;0,00614265;0,000358227;0,000407619
"2";0,00399;0;0,00901661;0,00053623;0,000604713
"3";0,00518;0;0,0132053;0,000795649;0,000887247
"4";0,00669;0;0,0192347;0,00116572;0,0012834
"5";0,00876;0;0,027775;0,00167992;0,00182443
"6";0,0114;0,00929;0,0396308;0,00237208;0,00254073
"7";0,015;0,0123;0,0557012;0,00327374;0,00345993
"8";0,0199;0,0162;0,0769323;0,00443021;0,0046237
"9";0,0263;0,0211;0,104188;0,00590458;0,00609138
"10";0,0355;0,0273;0,138044;0,0077526;0,00789634
"11";0,0462;0,0348;0,17853;0,00998841;0,00998835
"12";0,0578;0,0439;0,225091;0,0125949;0,0122607
"13";0,0715;0,0545;0,277507;0,0155944;0,0147044
"14";0,0892;0,0668;0,335858;0,0190467;0,0173958
"15";0,113;0,0808;0,398876;0,0229763;0,020344
"16";0,137;0,0966;0,462692;0,0273163;0,0233957
"17";0,157;0,114;0,523006;0,0319746;0,0263761
"18";0,176;0,134;0,580599;0,0369983;0,0293551
"19";0,199;0,154;0,639359;0,0425402;0,0325498
"20";0,226;0,176;0,699829;0,0487161;0,036062
"21";0,254;0,2;0,756885;0,0555384;0,039781
"22";0,28;0,224;0,805666;0,0629819;0,0435728
"23";0,307;0,25;0,84878;0,0709285;0,0474385
"24";0,336;0,276;0,891761;0,0791769;0,0514343
"25";0,369;0,302;0,933977;0,087516;0,0555102
"26";0,402;0,328;0,96696;0,0957612;0,0594619
"27";0,431;0,354;0,984028;0,103804;0,0631288
"28";0,459;0,38;0,990851;0,111948;0,0667425
"29";0,49;0,406;0,996373;0,120706;0,0706963
"30";0,522;0,431;0,999978;0,130111;0,0750778
"31";0,554;0,455;0,991329;0,139493;0,0795647
"32";0,584;0,479;0,963905;0,148281;0,0838826
"33";0,614;0,502;0,926078;0,157157;0,0883322
"34";0,645;0,524;0,888509;0,167331;0,0934397
"35";0,677;0,546;0,854998;0,179417;0,0995304
"36";0,708;0,567;0,823726;0,193202;0,106663
"37";0,739;0,588;0,792431;0,208315;0,114828
"38";0,77;0,61;0,757244;0,224231;0,12374
"39";0,801;0,631;0,71473;0,240257;0,132947
"40";0,832;0,653;0,66489;0,255987;0,142218
"41";0,86;0,676;0,610456;0,271441;0,151651
"42";0,885;0,699;0,554065;0,286755;0,161404
"43";0,907;0,722;0,498108;0,302323;0,17169
"44";0,928;0,745;0,44445;0,318692;0,182777
"45";0,949;0,769;0,394699;0,336232;0,194845
"46";0,966;0,793;0,350108;0,355066;0,20794
"47";0,978;0,817;0,310864;0,375142;0,222022
"48";0,987;0,84;0,275338;0,395646;0,236684
"49";0,993;0,862;0,242158;0,415435;0,251347
"50";0,998;0,884;0,211726;0,434851;0,266252
"51";1;0,904;0,185297;0,456137;0,282752
"52";0,998;0,923;0,163149;0,481255;0,302094
"53";0,994;0,941;0,144086;0,508947;0,323637
"54";0,989;0,957;0,127011;0,536701;0,345943
"55";0,979;0,97;0,111333;0,563616;0,368416
"56";0,966;0,982;0,096799;0,591003;0,391705
"57";0,951;0,99;0,0832878;0,62016;0,4165
"58";0,932;0,997;0,0708052;0,650796;0,44272
"59";0,912;1;0,0594049;0,682055;0,469997
"60";0,889;1;0,0494281;0,713186;0,498012
"61";0,863;0,997;0,0412337;0,743612;0,526538
"62";0,834;0,99;0,0347627;0,772966;0,555406
"63";0,802;0,981;0,0294746;0,802017;0,584828
"64";0,769;0,968;0,0249376;0,831919;0,615162
"65";0,735;0,953;0,0209956;0,861972;0,645883
"66";0,7;0,935;0,0176298;0,889214;0,675313
"67";0,664;0,915;0,0147911;0,911006;0,701886
"68";0,628;0,892;0,0123884;0,92789;0,725841
"69";0,591;0,867;0,0103437;0,941414;0,748046
"70";0,555;0,84;0,00861365;0,952622;0,769032
"71";0,519;0,811;0,00717089;0,961962;0,7889
"72";0,484;0,781;0,00597777;0,969966;0,807945
"73";0,449;0,749;0,00498125;0,977539;0,827239
"74";0,416;0,717;0,00413908;0,985629;0,848078
"75";0,383;0,683;0,00342783;0,993551;0,870068
"76";0,352;0,65;0,00283352;0,998931;0,890871
"77";0,322;0,616;0,00234084;0,999692;0,908253
"78";0,293;0,581;0,00193276;0,995405;0,921575
"79";0,266;0,548;0,00159455;0,986199;0,930744
"80";0,24;0,514;0,0013143;0,973906;0,937318
"81";0,216;0,481;0,0010823;0,961876;0,944527
"82";0,193;0,448;0,000890533;0,952151;0,95468
"83";0,172;0,417;0,000732568;0,942105;0,965785
"84";0,153;0,386;0,000602887;0,928274;0,974756
"85";0,135;0,357;0,000496461;0,910356;0,980819
"86";0,119;0,329;0,000408931;0,890949;0,985636
"87";0,104;0,302;0,000336838;0,871834;0,99056
"88";0,0904;0,276;0,000277504;0,85184;0,995124
"89";0,0786;0,252;0,000228725;0,829303;0,998411
"90";0,068;0,229;0,000188638;0,80391;0,999912
"91";0,0587;0,208;0,000155688;0,776526;0,999543
"92";0,0505;0,188;0,000128596;0,747669;0,997051
"93";0,0432;0,169;0,000106316;0,716622;0,991416
"94";0,037;0,152;8,79858e-05;0,682647;0,981599
"95";0,0316;0,136;7,28979e-05;0,646858;0,96912
"96";0,0269;0,121;6,04705e-05;0,611728;0,957841
"97";0,0229;0,108;5,02269e-05;0,578783;0,950236
"98";0,0194;0,0956;4,17759e-05;0,547321;0,943752
"99";0,0165;0,0845;3,47974e-05;0,516354;0,934826
"100";0,0139;0,0745;2,90288e-05;0,48535;0,922177
"101";0,0118;0,0655;2,42549e-05;0,454142;0,906693
"102";0,00997;0,0574;2,02996e-05;0,422778;0,889188
"103";0,00841;0,0502;1,70182e-05;0,391752;0,869894
"104";0,00711;0,0438;1,42924e-05;0,361559;0,848912
"105";0,006;0,0382;1,20248e-05;0,332422;0,826522
"106";0,00507;0,0332;1,01356e-05;0,304378;0,803173
"107";0,00428;0,0287;8,55941e-06;0,277506;0,779118
"108";0,00361;0,0249;7,24221e-06;0,252012;0,7539
"109";0,00305;0,0215;6,1397e-06;0,228065;0,726995
"110";0,00258;0,0185;5,21535e-06;0,205754;0,698491
"111";0,00218;0,0159;4,43906e-06;0,185104;0,668991
"112";0,00184;0,0137;3,78599e-06;0,166091;0,638979
"113";0,00156;0,0118;3,23563e-06;0,14862;0,608579
"114";0,00132;0,0101;0;0,132591;0,577857
"115";0,00112;0,00862;0;0,117928;0,547248
"116";0,000947;0,00737;0;0,104573;0,517449
"117";0,000804;0,0063;0;0,0924685;0,488692
"118";0,000681;0,00538;0;0,0815834;0,459896
"119";0,000579;0,00459;0;0,0718683;0,430007
"120";0,000491;0,00391;0;0,0632176;0,39934
"121";0,000418;0,00334;0;0,055499;0,369168
"122";0,000356;0,00284;0;0,0486103;0,340389
"123";0,000303;0,00242;0;0,0424945;0,313249
"124";0,000259;0,00206;0;0,0370952;0,287817
"125";0,000221;0,00176;0;0,0323125;0,264158
"126";0,000188;0,0015;0;0,0280314;0,242316
"127";0,000161;0,00128;0;0,0242011;0,222158
"128";0,000138;0,00109;0;0,020887;0,20306
"129";0,000118;0,000928;0;0,01812;0,184495
"130";0,000101;0,000792;0;0,0157991;0,166509
"131";8,66e-05;0,000677;0;0,013766;0,149509
"132";7,43e-05;0,000579;0;0,0119304;0,13376
"133";6,38e-05;0,000496;0;0,0102892;0,119343
"134";5,49e-05;0,000425;0;0,00884609;0,106264
"135";4,72e-05;0,000365;0;0,00759059;0,0944558
"136";4,07e-05;0,000313;0;0,00650455;0,0838077
"137";3,51e-05;0,000269;0;0,00557093;0,0742191
"138";3,03e-05;0,000231;0;0,00477687;0,065605
"139";2,62e-05;0,000199;0;0,00410832;0,0578857
"140";2,26e-05;0,000172;0;0,00354392;0,0509811
"141";1,96e-05;0,000148;0;0,0030605;0,0448132
"142";1,69e-05;0,000128;0;0,00264175;0,0393111
"143";1,47e-05;0,00011;0;0,00227875;0,0344098
"144";1,27e-05;9,54e-05;0;0,00196456;0,0300509
"145";1,1e-05;8,26e-05;0;0,00169287;0,0261861
"146";9,58e-06;7,15e-05;0;0,00145798;0,0227738
"147";8,33e-06;6,2e-05;0;0,00125476;0,0197679
"148";7,24e-06;5,38e-05;0;0,00107812;0,0171092
"149";6,3e-06;4,67e-05;0;0,000923962;0,0147492
"150";5,49e-06;4,06e-05;0;0,000790652;0,0126804
"151";4,79e-06;3,53e-05;0;0,000677653;0,0109123
"152";4,18e-06;3,08e-05;0;0,000583108;0,00942568
"153";3,65e-06;2,68e-05;0;0,000503294;0,00816076
"154";3,19e-06;2,34e-05;0;0,000435007;0,00706588
"155";2,79e-06;2,04e-05;0;0,000376138;0,00611262
"156";2,44e-06;1,78e-05;0;0,000325278;0,00528607
"157";2,14e-06;0;0;0,000281237;0,00457086
"158";1,87e-06;0;0;0,00024293;0,00394832
"159";1,64e-06;0;0;0,000209478;0,00340297
"160";1,44e-06;0;0;0,00018037;0,00292624
"161";1,27e-06;0;0;0,000155286;0,00251327
"162";1,11e-06;0;0;0,00013383;0,00215836
"163";9,78e-07;0;0;0,000115513;0,00185521
"164";8,62e-07;0;0;9,988e-05;0,0015975
"165";7,59e-07;0;0;8,64907e-05;0,00137787
"166";6,69e-07;0;0;7,49453e-05;0,001189
"167";5,9e-07;0;0;6,4947e-05;0,00102563
"168";5,21e-07;0;0;5,63207e-05;0,000884959
"169";4,6e-07;0;0;4,89142e-05;0,000764585
"170";4,07e-07;0;0;4,2549e-05;0,00066157
"171";3,6e-07;0;0;3,70443e-05;0,000572917
"172";3,18e-07;0;0;3,22588e-05;0,000496234
"173";2,82e-07;0;0;2,80893e-05;0,000429654
"174";2,5e-07;0;0;2,44529e-05;0,00037169
"175";2,22e-07;0;0;2,12995e-05;0,000321494
"176";1,97e-07;0;0;1,85965e-05;0,000278553
"177";1,75e-07;0;0;1,62931e-05;0,000242061
"178";1,55e-07;0;0;1,43005e-05;0,000210674
"179";1,38e-07;0;0;1,25449e-05;0,000183271
"180";1,23e-07;0;0;1,09929e-05;0,00015929
"181";1,09e-07;0;0;9,63397e-06;0,000138482
"182";9,74e-08;0;0;8,45301e-06;0,000120542
"183";8,68e-08;0;0;7,427e-06;0,000105061
"184";7,74e-08;0;0;6,53422e-06;9,16641e-05
"185";6,91e-08;0;0;5,75391e-06;8,00302e-05
"186";6,17e-08;0;0;5,06711e-06;6,98827e-05
"187";5,51e-08;0;0;4,46019e-06;6,10128e-05
"188";4,93e-08;0;0;3,9269e-06;5,32996e-05
"189";4,41e-08;0;0;3,46157e-06;4,66322e-05
"190";3,94e-08;0;0;3,05464e-06;4,08501e-05
"191";3,53e-08;0;0;2,69504e-06;3,57781e-05
"192";3,17e-08;0;0;2,3755e-06;3,13007e-05
"193";2,84e-08;0;0;2,09478e-06;2,73908e-05
"194";2,55e-08;0;0;1,85152e-06;2,40205e-05
"195";2,29e-08;0;0;1,6406e-06;2,11145e-05
"196";2,05e-08;0;0;1,45518e-06;1,85766e-05
